ct_scan,lung_mask,infection_mask,lung_and_infection_mask
../input/covid19-ct-scans/ct_scans/coronacases_org_001.nii,../input/covid19-ct-scans/lung_mask/coronacases_001.nii,../input/covid19-ct-scans/infection_mask/coronacases_001.nii,../input/covid19-ct-scans/lung_and_infection_mask/coronacases_001.nii
../input/covid19-ct-scans/ct_scans/coronacases_org_002.nii,../input/covid19-ct-scans/lung_mask/coronacases_002.nii,../input/covid19-ct-scans/infection_mask/coronacases_002.nii,../input/covid19-ct-scans/lung_and_infection_mask/coronacases_002.nii
../input/covid19-ct-scans/ct_scans/coronacases_org_003.nii,../input/covid19-ct-scans/lung_mask/coronacases_003.nii,../input/covid19-ct-scans/infection_mask/coronacases_003.nii,../input/covid19-ct-scans/lung_and_infection_mask/coronacases_003.nii
../input/covid19-ct-scans/ct_scans/coronacases_org_004.nii,../input/covid19-ct-scans/lung_mask/coronacases_004.nii,../input/covid19-ct-scans/infection_mask/coronacases_004.nii,../input/covid19-ct-scans/lung_and_infection_mask/coronacases_004.nii
../input/covid19-ct-scans/ct_scans/coronacases_org_005.nii,../input/covid19-ct-scans/lung_mask/coronacases_005.nii,../input/covid19-ct-scans/infection_mask/coronacases_005.nii,../input/covid19-ct-scans/lung_and_infection_mask/coronacases_005.nii
../input/covid19-ct-scans/ct_scans/coronacases_org_006.nii,../input/covid19-ct-scans/lung_mask/coronacases_006.nii,../input/covid19-ct-scans/infection_mask/coronacases_006.nii,../input/covid19-ct-scans/lung_and_infection_mask/coronacases_006.nii
../input/covid19-ct-scans/ct_scans/coronacases_org_007.nii,../input/covid19-ct-scans/lung_mask/coronacases_007.nii,../input/covid19-ct-scans/infection_mask/coronacases_007.nii,../input/covid19-ct-scans/lung_and_infection_mask/coronacases_007.nii
../input/covid19-ct-scans/ct_scans/coronacases_org_008.nii,../input/covid19-ct-scans/lung_mask/coronacases_008.nii,../input/covid19-ct-scans/infection_mask/coronacases_008.nii,../input/covid19-ct-scans/lung_and_infection_mask/coronacases_008.nii
../input/covid19-ct-scans/ct_scans/coronacases_org_009.nii,../input/covid19-ct-scans/lung_mask/coronacases_009.nii,../input/covid19-ct-scans/infection_mask/coronacases_009.nii,../input/covid19-ct-scans/lung_and_infection_mask/coronacases_009.nii
../input/covid19-ct-scans/ct_scans/coronacases_org_010.nii,../input/covid19-ct-scans/lung_mask/coronacases_010.nii,../input/covid19-ct-scans/infection_mask/coronacases_010.nii,../input/covid19-ct-scans/lung_and_infection_mask/coronacases_010.nii
../input/covid19-ct-scans/ct_scans/radiopaedia_org_covid-19-pneumonia-10_85902_1-dcm.nii,../input/covid19-ct-scans/lung_mask/radiopaedia_10_85902_1.nii,../input/covid19-ct-scans/infection_mask/radiopaedia_10_85902_1.nii,../input/covid19-ct-scans/lung_and_infection_mask/radiopaedia_10_85902_1.nii
../input/covid19-ct-scans/ct_scans/radiopaedia_org_covid-19-pneumonia-10_85902_3-dcm.nii,../input/covid19-ct-scans/lung_mask/radiopaedia_10_85902_3.nii,../input/covid19-ct-scans/infection_mask/radiopaedia_10_85902_3.nii,../input/covid19-ct-scans/lung_and_infection_mask/radiopaedia_10_85902_3.nii
../input/covid19-ct-scans/ct_scans/radiopaedia_org_covid-19-pneumonia-14_85914_0-dcm.nii,../input/covid19-ct-scans/lung_mask/radiopaedia_14_85914_0.nii,../input/covid19-ct-scans/infection_mask/radiopaedia_14_85914_0.nii,../input/covid19-ct-scans/lung_and_infection_mask/radiopaedia_14_85914_0.nii
../input/covid19-ct-scans/ct_scans/radiopaedia_org_covid-19-pneumonia-27_86410_0-dcm.nii,../input/covid19-ct-scans/lung_mask/radiopaedia_27_86410_0.nii,../input/covid19-ct-scans/infection_mask/radiopaedia_27_86410_0.nii,../input/covid19-ct-scans/lung_and_infection_mask/radiopaedia_27_86410_0.nii
../input/covid19-ct-scans/ct_scans/radiopaedia_org_covid-19-pneumonia-29_86490_1-dcm.nii,../input/covid19-ct-scans/lung_mask/radiopaedia_29_86490_1.nii,../input/covid19-ct-scans/infection_mask/radiopaedia_29_86490_1.nii,../input/covid19-ct-scans/lung_and_infection_mask/radiopaedia_29_86490_1.nii
../input/covid19-ct-scans/ct_scans/radiopaedia_org_covid-19-pneumonia-29_86491_1-dcm.nii,../input/covid19-ct-scans/lung_mask/radiopaedia_29_86491_1.nii,../input/covid19-ct-scans/infection_mask/radiopaedia_29_86491_1.nii,../input/covid19-ct-scans/lung_and_infection_mask/radiopaedia_29_86491_1.nii
../input/covid19-ct-scans/ct_scans/radiopaedia_org_covid-19-pneumonia-36_86526_0-dcm.nii,../input/covid19-ct-scans/lung_mask/radiopaedia_36_86526_0.nii,../input/covid19-ct-scans/infection_mask/radiopaedia_36_86526_0.nii,../input/covid19-ct-scans/lung_and_infection_mask/radiopaedia_36_86526_0.nii
../input/covid19-ct-scans/ct_scans/radiopaedia_org_covid-19-pneumonia-40_86625_0-dcm.nii,../input/covid19-ct-scans/lung_mask/radiopaedia_40_86625_0.nii,../input/covid19-ct-scans/infection_mask/radiopaedia_40_86625_0.nii,../input/covid19-ct-scans/lung_and_infection_mask/radiopaedia_40_86625_0.nii
../input/covid19-ct-scans/ct_scans/radiopaedia_org_covid-19-pneumonia-4_85506_1-dcm.nii,../input/covid19-ct-scans/lung_mask/radiopaedia_4_85506_1.nii,../input/covid19-ct-scans/infection_mask/radiopaedia_4_85506_1.nii,../input/covid19-ct-scans/lung_and_infection_mask/radiopaedia_4_85506_1.nii
